Market,Year,KPI,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
KSA,2026,Redeeming Members,20636.2903,39238.00434,62467.78429,70775.19563,87651.03303,103514.6562,117943.2592,129130.8165,140294.5736,150622.5189,162758.052,171603.725
KSA,2026,Returning Members,47904.31121,90596.13235,137971.792,162373.4463,199124.8698,231910.8666,262155.6027,288092.229,309963.9268,332350.9589,359126.2418,386817.9593
KSA,2026,Sales Penetration,0.725015779,0.741157418,0.718310447,0.735740824,0.744973885,0.739590151,0.735285806,0.720707359,0.717174524,0.714108853,0.709603978,0.70832189
KSA,2026,Total Sales,20894307.06,45202253.37,90089807.98,100696298.4,125276321.7,149268392.7,172046173.3,192123009.4,210929913.3,230362548.9,252414694.4,273705227.4
KSA,2026,Transacting Members,94250.96,184170.421,330710.856,366138.84,442898.74,516262.4,583603.14,639008.28,686638.32,731608.82,783901.8,830202.6
UAE,2026,Cross Brand Plus,7114.259688,18171.78385,32283.19107,40705.0596,56667.85855,73203.71272,89472.15037,102982.493,113786.2359,125280.171,139543.3279,155726.6576
UAE,2026,New Brand Adopters,18185.6121,33680.59475,53456.24635,62711.98838,78660.52859,94068.45347,107165.3182,117498.0634,125464.7518,133597.7992,142832.5057,152782.5679
UAE,2026,New Members,37280.11589,70127.21159,103386.2541,122448.7828,153696.0249,181690.7805,212374.2938,239552.8735,262344.9489,287288.8889,318147.4464,353922.0598
UAE,2026,Redeeming Members,16024.62543,30447.94855,44661.93024,53689.35527,68355.96159,81719.14958,93813.91972,102718.045,110058.3482,116736.4422,125629.6548,134419.4982
UAE,2026,Returning Members,50513.65271,89716.66392,119652.3818,142092.11,169924.9325,193500.1839,210926.4348,225435.1005,235899.1259,246849.6373,259987.832,274425.6624
UAE,2026,Sales Penetration,0.560211732,0.565059982,0.583201785,0.583946586,0.589718293,0.598004066,0.601852521,0.602177005,0.601783418,0.598924283,0.5962,0.594
UAE,2026,Total Sales,38537567.45,80302071.37,125980573.8,154140333.5,196094374.9,235700252.9,271689630.5,305357082.8,337874663.7,376133186.2,422213696.1,473248929.1
UAE,2026,Transacting Members,87793.7686,159843.8755,223038.6359,264540.8928,323620.9574,375190.9644,423300.7286,464987.974,498244.0748,534138.5262,578135.2784,628347.7222
